,,,,Independent Variable Independent Variable camera,Independent Variable Independent Variable comments_video,Independent Variable Independent Variable family,Independent Variable Independent Variable id,Independent Variable Independent Variable Missed samples %,Independent Variable Independent Variable Recording after,Independent Variable Independent Variable start (s),Independent Variable Independent Variable Subject not found %,Independent Variable Independent Variable Video file,Independent Variable Independent Variable week,Distance moved center-point Total cm,Velocity center-point Mean cm/s,Movement Moving / center-point Cumulative Duration s,Movement Not Moving / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration %,In zone blank / center-point Cumulative Duration s,In zone blank / center-point Cumulative Duration %,Mobility Body fill Mean %,Mobility state Highly mobile Cumulative Duration s,Mobility state Mobile Cumulative Duration s,Mobility state Immobile Cumulative Duration s
5 minutes,Trial     5,Arena 3,In cue,A,spider on the walls not seen sometimes,BL2,BL2_05,0.0 %,+ 00:04:30.073,270,24.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"11,7648","0,125268","16,7196","77,9181","95,1176","18,4455",0,0,"9,26916","2,79993","27,7593","64,0784"
5 minutes,Trial     5,Arena 3,In blank,A,spider on the walls not seen sometimes,BL2,BL2_05,0.0 %,+ 00:04:30.073,270,24.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"18,8035","0,163342","31,8392","83,9979",0,0,"117,037","22,6962","14,3363","3,9999","78,558","33,2792"
5 minutes,Trial     5,Arena 4,In cue,A,nc,BQ3,BQ3_04,0.0 %,+ 00:04:30.073,270,2.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"16,8339","0,0627023","32,3992","236,714","270,153","52,3891",0,0,"8,59748","0,959976","181,595","86,5578"
5 minutes,Trial     5,Arena 4,In blank,A,nc,BQ3,BQ3_04,0.0 %,+ 00:04:30.073,270,2.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"1,33098","0,069906","1,35997","17,6796",0,0,"19,0395","3,69221","7,99576",0,"13,9996","5,03987"
5 minutes,Trial     5,Arena 5,In cue,A,nc,BM1,M1_03,0.0 %,+ 00:04:30.073,270,1.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"6,95023","0,998622","5,91985","1,35997","7,35982","1,42724",0,0,"53,3367","2,31994","4,63988","0,319992"
5 minutes,Trial     5,Arena 5,In blank,A,nc,BM1,M1_03,0.0 %,+ 00:04:30.073,270,1.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"42,1281","0,149014","61,9185","223,114",0,0,"287,193","55,6935","12,204","7,35982","189,035","88,7178"
5 minutes,Trial     5,Arena 6,In cue,A,spider on the walls not seen sometimes,BS4,S4_04,0.0 %,+ 00:04:30.073,270,56.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"40,5154","0,260522","55,2786","105,277","163,916","31,7872",0,0,"18,8808","7,67981","106,317","46,5588"
5 minutes,Trial     5,Arena 6,In blank,A,spider on the walls not seen sometimes,BS4,S4_04,0.0 %,+ 00:04:30.073,270,56.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"11,3465","0,275408","8,71978","32,7192",0,0,"41,679","8,08253","19,1243","2,71993","32,8792","5,83985"
5 minutes,Trial     6,Arena 1,In cue,B,nc,BS9,S9_03,0.0 %,+ 00:02:35.036,155,3.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"10,1121","0,511758","8,31979","11,9197","20,3995","3,39909",0,0,"23,3241","2,47994","16,1596","1,59996"
5 minutes,Trial     6,Arena 1,In blank,B,nc,BS9,S9_03,0.0 %,+ 00:02:35.036,155,3.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"40,0722","0,154651","59,8385","199,515",0,0,"259,514","43,2418","13,2823","3,75991","225,834","29,7593"
5 minutes,Trial     6,Arena 2,In cue,B,nc,BS6,S6_05,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"3,93133","0,0131048",0,"299,993","300,072",50,0,0,"3,54404",0,"83,9179","216,075"
5 minutes,Trial     6,Arena 2,In blank,B,nc,BS6,S6_05,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     6,Arena 3,In cue,B,spider on the walls not seen sometimes,BS11,BS11_03,0.0 %,+ 00:02:35.036,155,67.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"11,7162","0,0944267","10,4797","114,797","125,597","20,9278",0,0,"7,56978","1,67996","44,9589","78,638"
5 minutes,Trial     6,Arena 3,In blank,B,spider on the walls not seen sometimes,BS11,BS11_03,0.0 %,+ 00:02:35.036,155,67.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"12,3423","0,907543","15,7596","0,079998",0,0,"16,9596","2,82591","48,5695","1,99995","13,8397",0
5 minutes,Trial     6,Arena 4,In cue,B,nc,BM2,BM2_03,0.0 %,+ 00:02:35.036,155,11.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"4,07022","50,879","0,079998",0,"0,079998","0,0133298",0,0,100,"0,079998",0,0
5 minutes,Trial     6,Arena 4,In blank,B,nc,BM2,BM2_03,0.0 %,+ 00:02:35.036,155,11.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"60,7288","0,204727","34,7991","263,273",0,0,"298,633","49,7601","4,41941","2,39994","47,6788","247,994"
5 minutes,Trial     6,Arena 5,In cue,B,spider escaped during video,BS3,S3_03,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     6,Arena 5,In blank,B,spider escaped during video,BS3,S3_03,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"27,9129","0,0930455","109,357","190,635",0,0,"300,072",50,"5,25222",0,"121,277","178,716"
